INDUSINDBK.csv,Reliance.csv,Bajaj_Finserv.csv,Axis.csv,Kotakbank.csv,TITAN.csv,TECHM.csv,LT.csv,MarutiSuzuki.csv,TATASTEEL.csv,Bharti_Airtel.csv,HDFC_BANK.csv,Nestle_India.csv,TCS.csv,ITC.csv,HEROMOTOCO.csv,icici.csv,ONGC.csv,HCL.csv,POWERGRID.csv,BAJAJ-AUTO.csv,HU.csv,Infosys.csv,ULTRACEMCO.csv,SBI.csv,Sun_Pharma.csv,NTPC.csv,MnM.csv,AsianPaints.csv,HDFC.csv
1009.55,2203.3,1240.65,839.9,1692.15,2493.35,1101.95,2166.15,8242.9,102.1,762.45,1560.65,18953.1,3120.5,378.7,2313.35,852.4,149.4,1051.75,222.4,3827.9,2480.8,1380.65,7405.65,505.35,972.85,172.7,1150.8,2798.5,2559.9
1018.25,2247.8,1290.0,848.8,1679.7,2519.05,1099.45,2206.65,8353.2,104.9,763.55,1563.15,19044.45,3124.65,380.65,2362.5,855.45,152.8,1065.9,222.15,3862.95,2485.1,1374.55,7407.95,512.75,977.65,174.6,1164.95,2797.8,2569.85
1031.15,2276.6,1294.55,849.65,1705.15,2508.15,1099.6,2213.95,8252.4,104.8,756.7,1575.8,18819.7,3130.8,377.75,2353.2,860.2,151.55,1081.45,224.1,3923.95,2476.35,1389.25,7396.65,521.55,972.05,174.35,1164.1,2839.85,2584.2
1022.85,2269.7,1268.1,855.6,1706.85,2514.05,1095.65,2208.45,8228.4,104.75,756.95,1579.45,18927.4,3106.1,376.95,2349.05,852.4,151.55,1083.9,223.15,3905.7,2462.6,1390.7,7352.75,521.85,956.2,177.1,1160.3,2839.1,2580.7
1002.3,2201.25,1245.4,837.55,1699.65,2459.95,1109.0,2177.55,8219.6,104.5,754.8,1561.75,18937.85,3143.3,378.8,2339.35,836.45,152.3,1090.85,227.5,3805.0,2511.2,1403.65,7243.2,519.2,961.2,176.0,1167.65,2855.15,2554.7
1020.5,2223.1,1301.75,837.4,1693.1,2455.65,1127.15,2195.75,8316.85,107.0,757.25,1572.65,18858.15,3179.3,375.55,2355.15,836.25,153.15,1108.45,229.7,3814.4,2447.4,1420.7,7289.95,529.8,957.7,176.95,1171.5,2862.65,2564.15
1017.8,2225.9,1293.6,830.55,1663.55,2450.35,1117.75,2173.6,8437.45,105.05,745.95,1551.9,18450.65,3185.0,381.45,2370.95,823.9,152.2,1072.4,232.15,3800.2,2459.35,1404.1,7104.6,524.5,967.4,179.6,1167.05,2893.25,2531.6
1044.35,2237.05,1282.6,824.05,1665.95,2399.1,1114.4,2176.65,8474.95,108.65,756.65,1541.9,17993.35,3198.9,379.4,2379.45,825.9,152.55,1079.65,228.3,3730.0,2406.1,1419.65,7100.75,517.55,951.4,178.2,1160.35,2827.4,2528.85
1064.0,2275.95,1280.55,832.85,1648.25,2355.6,1115.3,2144.2,8512.15,106.4,771.8,1564.35,18264.65,3214.95,379.7,2373.45,830.35,153.3,1084.05,225.2,3752.9,2442.45,1420.0,7063.95,525.4,957.2,177.9,1160.8,2745.6,2557.45
1060.1,2284.5,1295.7,832.35,1673.9,2332.0,1133.8,2133.85,8518.4,106.8,765.3,1568.55,18317.45,3281.95,383.65,2387.05,828.4,155.8,1098.6,226.1,3778.45,2455.1,1435.1,7075.6,530.0,954.1,179.7,1193.45,2784.2,2575.25
1144.8,2322.7,1328.85,851.9,1699.3,2375.5,1061.25,2157.85,8601.55,108.1,773.75,1588.65,18485.75,3331.0,388.0,2440.3,842.65,155.8,1116.3,226.55,3821.9,2465.45,1471.55,7226.4,547.35,955.55,180.75,1226.7,2830.2,2608.9
1169.8,2359.25,1352.55,867.8,1716.7,2368.25,1060.0,2193.2,8541.95,108.2,773.4,1630.7,18535.7,3336.85,387.5,2443.8,855.95,156.3,1116.65,225.8,3813.5,2461.4,1480.4,7242.95,558.9,952.7,179.45,1248.15,2853.55,2667.1
1174.25,2417.35,1380.8,860.95,1740.2,2397.1,1078.3,2170.8,8693.9,106.5,766.55,1630.55,18518.25,3390.4,392.4,2478.05,872.1,158.25,1120.65,228.05,3811.2,2485.1,1492.7,7267.25,564.8,957.5,178.85,1289.95,2859.55,2679.45
1120.6,2408.7,1380.8,859.5,1751.0,2403.45,1090.05,2141.15,8631.45,105.65,766.6,1627.3,18514.85,3371.85,388.15,2479.7,867.75,158.2,1126.7,227.15,3723.05,2484.85,1507.45,7200.6,561.7,965.25,176.8,1270.45,2864.55,2674.75
1126.4,2385.4,1355.35,852.65,1751.0,2396.1,1085.15,2152.05,8601.25,107.0,764.4,1615.9,18449.9,3342.15,384.95,2461.55,868.55,154.25,1119.0,222.1,3732.0,2471.0,1479.3,7215.95,561.2,966.9,172.6,1268.6,2828.85,2646.1
1102.05,2326.05,1343.55,845.45,1721.7,2358.95,1109.8,2121.6,8548.75,104.65,740.1,1584.45,18481.75,3321.45,375.55,2463.35,854.0,154.05,1105.95,220.35,3715.25,2455.35,1472.15,7289.2,533.75,965.3,170.8,1251.55,2833.9,2603.1
1100.45,2343.9,1343.9,865.15,1744.9,2382.4,1126.9,2115.3,8764.15,105.5,750.2,1598.05,18778.85,3385.7,378.7,2431.1,856.3,154.8,1101.1,218.9,3731.65,2466.25,1496.05,7274.15,536.7,959.3,172.25,1272.15,2840.9,2618.3
1077.7,2322.55,1334.9,844.1,1729.25,2372.8,1100.25,2109.15,8624.35,103.95,742.25,1599.6,18670.0,3312.85,376.7,2419.1,854.85,152.05,1077.6,222.25,3661.2,2460.65,1487.55,7261.3,522.8,956.6,170.5,1269.6,2828.8,2609.45
1081.95,2367.85,1357.4,854.35,1725.95,2401.0,1113.95,2113.7,8632.2,106.1,752.9,1592.9,18622.75,3331.85,382.2,2437.55,856.4,155.25,1083.95,219.2,3639.85,2468.15,1509.3,7186.65,527.7,965.05,172.4,1257.4,2749.9,2592.15
1079.15,2383.7,1359.0,851.4,1697.3,2399.1,1119.0,2134.05,8660.5,109.75,757.1,1588.95,18680.9,3400.45,385.1,2485.65,839.7,155.0,1094.85,215.05,3849.95,2484.2,1550.65,7216.7,521.05,970.5,171.0,1280.2,2738.5,2577.15
1075.6,2367.5,1346.95,844.35,1707.15,2394.5,1128.8,2159.15,8696.25,112.05,762.95,1603.25,18648.0,3413.8,387.6,2495.5,839.75,154.65,1094.35,213.25,3831.9,2490.65,1550.7,7176.95,521.0,972.5,169.6,1313.95,2705.95,2600.5
1092.75,2378.9,1360.95,833.35,1700.55,2431.55,1125.7,2194.75,8658.95,111.15,772.15,1614.2,18674.15,3401.55,383.85,2499.45,839.25,153.6,1092.6,214.65,3840.7,2494.05,1561.8,7205.75,516.35,968.55,170.5,1319.75,2795.95,2617.3
1101.75,2434.1,1394.3,844.05,1730.2,2463.6,1134.45,2229.45,8669.85,113.15,779.05,1646.5,18848.7,3451.0,382.25,2520.55,854.2,154.1,1105.2,217.2,3837.1,2516.15,1579.5,7340.55,523.45,971.6,173.25,1351.85,2817.1,2666.4
1109.3,2414.4,1404.6,846.75,1737.3,2474.15,1144.2,2225.5,8693.65,112.35,779.15,1640.35,18823.05,3487.3,384.05,2527.45,852.1,154.85,1115.7,215.8,3903.8,2511.45,1592.45,7426.85,525.15,984.4,167.9,1346.25,2825.55,2655.9
1114.7,2440.2,1414.05,854.9,1759.25,2500.3,1129.2,2226.35,8807.75,112.25,776.8,1655.9,19021.3,3501.15,383.4,2535.55,862.65,156.6,1109.55,213.8,3894.3,2515.5,1583.8,7297.85,531.0,984.5,168.05,1341.5,2833.6,2693.6
1148.35,2430.05,1428.2,864.75,1787.95,2522.4,1130.25,2178.3,8805.1,112.0,784.45,1664.25,19628.85,3558.05,382.55,2556.7,869.45,155.9,1128.15,214.6,3906.6,2527.1,1601.8,7171.75,540.1,995.15,167.4,1368.15,2805.95,2700.5
1149.6,2431.95,1420.8,868.3,1785.5,2524.3,1071.4,2175.05,8845.35,110.3,785.4,1670.3,19260.95,3520.65,382.2,2572.0,870.8,147.5,1132.9,214.5,3905.4,2548.45,1597.05,7151.85,542.25,995.4,165.8,1379.35,2786.15,2703.9
1156.85,2378.1,1398.6,870.75,1770.35,2506.9,1012.05,2191.65,8774.45,109.25,775.2,1673.7,19082.9,3500.1,386.45,2542.5,865.3,148.45,1125.45,215.0,3876.1,2579.6,1593.25,7139.2,540.85,1006.75,166.05,1363.15,2777.0,2718.75
1157.35,2323.35,1388.55,859.1,1773.8,2519.05,1002.5,2203.3,8809.45,108.75,768.6,1658.35,19026.8,3482.4,374.2,2561.55,850.65,148.15,1113.0,216.0,3883.5,2581.0,1567.45,7179.25,537.5,1015.25,167.85,1353.0,2790.75,2699.85
1161.2,2336.65,1401.75,867.25,1772.05,2468.5,1017.35,2163.85,8811.35,108.8,771.95,1657.1,19023.85,3537.55,371.35,2583.3,853.85,146.7,1115.65,214.1,3831.65,2577.5,1608.55,7206.05,553.05,1006.6,165.0,1365.45,2804.6,2688.7
1163.8,2356.05,1400.25,867.7,1770.9,2462.55,1016.0,2147.4,8801.2,111.25,766.65,1650.55,19000.3,3540.85,374.25,2559.2,860.8,146.2,1146.35,212.85,3845.75,2586.7,1617.0,7179.75,550.8,1006.8,166.0,1372.2,2814.6,2673.25
1145.35,2351.95,1368.9,871.75,1765.5,2466.75,1011.05,2130.85,8834.7,111.45,775.1,1654.0,18994.9,3520.1,375.55,2614.65,859.1,143.9,1145.0,212.0,3880.3,2582.8,1590.5,7250.35,549.75,1013.0,165.5,1373.05,2765.6,2685.8
1142.9,2305.9,1350.4,879.1,1775.4,2446.9,1002.45,2165.3,8762.45,111.45,785.9,1654.2,18978.0,3472.55,373.25,2652.6,852.75,144.65,1128.25,216.85,3879.45,2601.2,1562.4,7071.8,547.1,1006.4,165.25,1366.7,2758.05,2679.2
1129.15,2311.45,1343.05,882.65,1747.0,2458.0,1005.35,2156.1,8908.0,117.45,789.25,1651.75,19021.5,3459.95,383.4,2695.0,853.7,143.5,1145.7,217.05,3849.1,2637.6,1569.85,7127.25,545.4,1023.35,166.05,1376.0,2754.2,2683.15
